##time,flux,flux_err
2.460093820141999982e+06,9.918299999999999894e-01,9.240000000000000166e-04
2.460093820855999831e+06,9.873549999999999827e-01,9.259999999999999568e-04
2.460093821570999920e+06,9.946460000000000301e-01,9.389999999999999476e-04
2.460093822284999769e+06,9.913610000000000477e-01,9.370000000000000074e-04
2.460093822999999858e+06,9.908740000000000325e-01,9.409999999999999962e-04
2.460093823714999948e+06,9.911759999999999460e-01,9.409999999999999962e-04
2.460093824430000037e+06,9.944570000000000354e-01,9.409999999999999962e-04
2.460093825145000126e+06,9.891980000000000217e-01,9.340000000000000429e-04
2.460093825858999975e+06,9.968949999999999756e-01,9.380000000000000317e-04
2.460093826574000064e+06,9.911919999999999620e-01,9.399999999999999719e-04
2.460093827289000154e+06,9.948869999999999658e-01,9.510000000000000224e-04
2.460093828003000002e+06,9.931429999999999980e-01,9.489999999999999738e-04
2.460093828718000092e+06,9.976880000000000193e-01,9.569999999999999514e-04
2.460093829431999940e+06,9.933469999999999800e-01,9.520000000000000467e-04
2.460093830147000030e+06,9.942929999999999824e-01,9.489999999999999738e-04
2.460093830860999878e+06,9.902499999999999636e-01,9.449999999999999850e-04
2.460093831575999968e+06,9.960020000000000540e-01,9.380000000000000317e-04
2.460093832291000057e+06,9.938230000000000119e-01,9.340000000000000429e-04
2.460093833004999906e+06,9.922649999999999526e-01,9.389999999999999476e-04
2.460093833719999995e+06,9.929869999999999530e-01,9.399999999999999719e-04
2.460093834433999844e+06,9.897489999999999899e-01,9.380000000000000317e-04
2.460093835148999933e+06,9.899320000000000341e-01,8.959999999999999866e-04
2.460093835864000022e+06,9.903669999999999973e-01,8.890000000000000333e-04
2.460093836579000112e+06,9.887340000000000018e-01,8.880000000000000089e-04
2.460093837292999960e+06,9.900419999999999776e-01,8.940000000000000464e-04
2.460093838008000050e+06,9.914950000000000152e-01,8.970000000000000109e-04
2.460093838723000139e+06,9.897559999999999691e-01,8.919999999999999978e-04
2.460093839436999988e+06,9.924319999999999808e-01,9.030000000000000483e-04
2.460093840152000077e+06,9.881429999999999936e-01,9.020000000000000240e-04
